id_clientes,cliente,endereco,id_concessionarias,data_inclusao,data_atualizacao
175353,Nathalia Rafael Campos,"Alameda Atlântica da Vida, 3675",20,2025-03-06 13:45:02.130696+00:00,2025-03-06 13:45:02.130696+00:00
176885,Daniela Larissa Lima,"Travessa Jardim do Campo, 5410",24,2025-03-11 21:25:01.821453+00:00,2025-03-11 21:25:01.821453+00:00
178417,Mariana Clara Ribeiro,"Travessa Nossa Senhora da Serra, 3597",13,2025-03-17 05:05:01.574276+00:00,2025-03-17 05:05:01.574276+00:00
179949,Isabela das Cavalcanti,"Rua Palmeiras da Lua, 3353",27,2025-03-22 12:45:01.284929+00:00,2025-03-22 12:45:01.284929+00:00
181764,Vanessa Márcia Oliveira,"Vila Vicente da Tecnologia, 3362",22,2025-03-28 20:10:01.689196+00:00,2025-03-28 20:10:01.689196+00:00
183720,Marcos Juliana Lima,"Rua Internacional dos Santos, 4813",19,2025-04-04 15:10:01.935309+00:00,2025-04-04 15:10:01.935309+00:00
175354,Renata Carla Monteiro,"Estrada Visconde da Liberdade, 3504",16,2025-03-06 13:50:01.287572+00:00,2025-03-06 13:50:01.287572+00:00
176886,Marcelo da Alves,"Largo Vicente da Felicidade, 2642",21,2025-03-11 21:30:02.014008+00:00,2025-03-11 21:30:02.014008+00:00
178418,Larissa João Cavalcanti,"Beco Ipiranga da Mata, 5929",21,2025-03-17 05:10:01.885677+00:00,2025-03-17 05:10:01.885677+00:00
179950,Sara Maria Moura,"Estrada Bandeirantes Vinhedos, 5034",25,2025-03-22 12:50:01.501610+00:00,2025-03-22 12:50:01.501610+00:00
181765,Lucas das Cardoso,"Via Oliveira da Floresta, 2095",7,2025-03-28 20:15:02.074833+00:00,2025-03-28 20:15:02.074833+00:00
183721,Camila Fábio Mendes,"Alameda Kennedy do Bosque, 9442",7,2025-04-04 15:15:01.186684+00:00,2025-04-04 15:15:01.186684+00:00
175355,Fernando Paula Martins,"Beco Pinheiros dos Pássaros, 2225",27,2025-03-06 13:55:01.486848+00:00,2025-03-06 13:55:01.486848+00:00
176887,Daniela Sofia Pereira,"Vila Santana da Montanha, 1087",29,2025-03-11 21:35:01.220594+00:00,2025-03-11 21:35:01.220594+00:00
178419,Ana Clara Castro,"Passagem Coronel da Mata, 3455",12,2025-03-17 05:15:02.090828+00:00,2025-03-17 05:15:02.090828+00:00
179951,Simone Sofia Santos,"Beco São Pedro da Inovação, 1604",28,2025-03-22 12:55:01.711139+00:00,2025-03-22 12:55:01.711139+00:00
180234,Mateus Sofia Rodrigues,"Rodovia Independência da Liberdade, 2765",10,2025-03-23 12:40:01.521025+00:00,2025-03-23 12:40:01.521025+00:00
181766,Simone Felipe Santos,"Vila Internacional do Progresso, 8609",28,2025-03-28 20:20:01.607871+00:00,2025-03-28 20:20:01.607871+00:00
182178,Camila da Castro,"Praça Xavier da Esperança, 4704",11,2025-03-30 06:40:01.838123+00:00,2025-03-30 06:40:01.838123+00:00
182190,Gabriel José Fernandes,"Travessa Internacional do Pacífico, 960",25,2025-03-30 07:40:01.928234+00:00,2025-03-30 07:40:01.928234+00:00
183722,Marcelo Márcia Monteiro,"Avenida Tiradentes do Vale, 4739",9,2025-04-04 15:20:01.346727+00:00,2025-04-04 15:20:01.346727+00:00
175356,Caio Luís Costa,"Vila Tocantins da Praia, 8300",1,2025-03-06 14:00:01.781909+00:00,2025-03-06 14:00:01.781909+00:00
176888,Beatriz Clara Campos,"Beco Barão do Sol, 6744",18,2025-03-11 21:40:01.385091+00:00,2025-03-11 21:40:01.385091+00:00
178420,Vanessa Samuel Dias,"Rua Santana dos Peixes, 8308",25,2025-03-17 05:20:01.336432+00:00,2025-03-17 05:20:01.336432+00:00
179952,Rodrigo do Fernandes,"Rodovia Doutor da Estação, 5550",12,2025-03-22 13:00:01.928651+00:00,2025-03-22 13:00:01.928651+00:00
180235,Rafael Luís Oliveira,"Beco Principal da Prosperidade, 6315",5,2025-03-23 12:45:01.712888+00:00,2025-03-23 12:45:01.712888+00:00
181767,Camila Maria Nascimento,"Beco Xavier da Lua, 4003",16,2025-03-28 20:25:01.804812+00:00,2025-03-28 20:25:01.804812+00:00
182179,Renata Leonardo Freitas,"Alameda Santa das Estrelas, 2380",16,2025-03-30 06:45:01.151599+00:00,2025-03-30 06:45:01.151599+00:00
182191,Bruno João Araújo,"Beco Nossa Senhora da Praia, 4553",21,2025-03-30 07:45:01.236235+00:00,2025-03-30 07:45:01.236235+00:00
183723,Fernanda Carla Barbosa,"Beco Paulista dos Pinhais, 7306",23,2025-04-04 15:25:01.621357+00:00,2025-04-04 15:25:01.621357+00:00
175357,Cristina Felipe Freitas,"Alameda Kennedy do Bosque, 2800",22,2025-03-06 14:05:02.126218+00:00,2025-03-06 14:05:02.126218+00:00
176889,Marcos Juliana Souza,"Praça Rei da Fonte, 6484",28,2025-03-11 21:45:01.620019+00:00,2025-03-11 21:45:01.620019+00:00
178421,Juliana das Carvalho,"Travessa Kennedy da Liberdade, 7438",23,2025-03-17 05:25:01.531835+00:00,2025-03-17 05:25:01.531835+00:00
179953,Marcos Márcia Oliveira,"Rodovia Industrial das Américas, 5551",24,2025-03-22 13:05:01.124871+00:00,2025-03-22 13:05:01.124871+00:00
180236,Leonardo Márcia Araújo,"Passagem Padre dos Peixes, 2131",13,2025-03-23 12:50:01.905035+00:00,2025-03-23 12:50:01.905035+00:00
181768,Gustavo Márcia Santos,"Rodovia Duque dos Navegantes, 9840",27,2025-03-28 20:30:01.992114+00:00,2025-03-28 20:30:01.992114+00:00
182180,Henrique dos Pereira,"Beco Juscelino do Campo, 6261",11,2025-03-30 06:50:01.324303+00:00,2025-03-30 06:50:01.324303+00:00
182192,Nathalia da Gomes,"Travessa Internacional da Tecnologia, 7122",5,2025-03-30 07:50:01.399285+00:00,2025-03-30 07:50:01.399285+00:00
183724,Sara Antônio Monteiro,"Praça Voluntários da Praia, 2093",27,2025-04-04 15:30:01.875310+00:00,2025-04-04 15:30:01.875310+00:00
175358,Lucas Rosa Castro,"Rodovia Visconde da Paz, 2950",25,2025-03-06 14:10:01.356611+00:00,2025-03-06 14:10:01.356611+00:00
176890,Carlos Gustavo Araújo,"Avenida Rainha do Progresso, 742",28,2025-03-11 21:50:01.827980+00:00,2025-03-11 21:50:01.827980+00:00
178422,Luiz Eduardo Costa,"Avenida Vitória da Floresta, 9751",6,2025-03-17 05:30:01.821566+00:00,2025-03-17 05:30:01.821566+00:00
179954,Cristina Marcos Lima,"Rua Xavier Vinhedos, 3248",1,2025-03-22 13:10:01.322585+00:00,2025-03-22 13:10:01.322585+00:00
180237,Fernanda Fernando Costa,"Alameda Rei da Prosperidade, 1301",5,2025-03-23 12:55:02.104108+00:00,2025-03-23 12:55:02.104108+00:00
181769,André Paula Ribeiro,"Rodovia Jardim do Campo, 7909",23,2025-03-28 20:35:01.166487+00:00,2025-03-28 20:35:01.166487+00:00
182181,Gustavo Clara Pinto,"Passagem Brasil da Montanha, 7450",16,2025-03-30 06:55:01.537968+00:00,2025-03-30 06:55:01.537968+00:00
